,subject,trick,duration,memory,time
0,1,1,8,0,0
1,1,1,8,0,10
2,1,1,8,0,45
3,1,1,8,0,135
0,1,2,6,0,0
1,1,2,6,0,10
2,1,2,6,0,45
3,1,2,6,0,135
0,1,3,10,0,0
1,1,3,10,0,10
2,1,3,10,0,45
3,1,3,10,0,135
0,1,4,6,1,0
1,1,4,6,1,10
2,1,4,6,0,45
3,1,4,6,0,135
0,1,5,2,1,0
1,1,5,2,1,10
2,1,5,2,1,45
3,1,5,2,0,135
0,1,6,0,1,0
1,1,6,0,0,10
2,1,6,0,0,45
3,1,6,0,0,135
0,1,7,8,0,0
1,1,7,8,0,10
2,1,7,8,0,45
3,1,7,8,0,135
0,1,8,6,1,0
1,1,8,6,1,10
2,1,8,6,1,45
3,1,8,6,1,135
0,2,1,8,0,0
1,2,1,8,0,10
2,2,1,8,0,45
3,2,1,8,0,135
0,2,2,14,1,0
1,2,2,14,0,10
2,2,2,14,0,45
3,2,2,14,0,135
0,2,3,10,1,0
1,2,3,10,0,10
2,2,3,10,0,45
3,2,3,10,0,135
0,2,4,0,0,0
1,2,4,0,0,10
2,2,4,0,0,45
3,2,4,0,0,135
0,2,5,0,1,0
1,2,5,0,1,10
2,2,5,0,1,45
3,2,5,0,0,135
0,2,6,4,1,0
1,2,6,4,1,10
2,2,6,4,0,45
3,2,6,4,0,135
0,2,7,0,0,0
1,2,7,0,0,10
2,2,7,0,0,45
3,2,7,0,0,135
0,2,8,8,1,0
1,2,8,8,1,10
2,2,8,8,1,45
3,2,8,8,1,135
0,3,1,0,0,0
0,3,2,6,0,0
0,3,3,10,0,0
0,3,4,2,0,0
0,3,5,6,1,0
0,3,6,0,1,0
0,3,7,8,0,0
0,3,8,26,1,0
0,4,1,4,1,0
0,4,2,4,0,0
0,4,3,0,1,0
0,4,4,0,0,0
0,4,5,0,1,0
0,4,6,2,1,0
0,4,7,0,1,0
0,4,8,0,1,0
0,5,1,6,1,0
0,5,2,10,0,0
0,5,3,6,1,0
0,5,4,0,1,0
0,5,5,0,1,0
0,5,6,4,1,0
0,5,7,0,1,0
0,5,8,6,1,0
0,6,1,18,1,0
0,6,2,20,0,0
0,6,3,12,1,0
0,6,4,6,1,0
0,6,5,10,1,0
0,6,6,0,1,0
0,6,7,0,1,0
0,6,8,0,1,0
0,7,1,14,0,0
1,7,1,14,0,10
2,7,1,14,0,45
0,7,2,16,1,0
1,7,2,16,1,10
2,7,2,16,1,45
0,7,3,0,0,0
1,7,3,0,0,10
2,7,3,0,0,45
0,7,4,0,1,0
1,7,4,0,0,10
2,7,4,0,0,45
0,7,5,8,1,0
1,7,5,8,1,10
2,7,5,8,1,45
0,7,6,4,1,0
1,7,6,4,1,10
2,7,6,4,0,45
0,7,7,4,1,0
1,7,7,4,1,10
2,7,7,4,1,45
0,7,8,4,1,0
1,7,8,4,1,10
2,7,8,4,1,45
0,8,1,12,0,0
1,8,1,12,0,10
2,8,1,12,0,45
3,8,1,12,0,135
0,8,2,8,0,0
1,8,2,8,0,10
2,8,2,8,0,45
3,8,2,8,0,135
0,8,3,16,1,0
1,8,3,16,0,10
2,8,3,16,0,45
3,8,3,16,0,135
0,8,4,10,0,0
1,8,4,10,1,10
2,8,4,10,0,45
3,8,4,10,0,135
0,8,5,2,1,0
1,8,5,2,1,10
2,8,5,2,1,45
3,8,5,2,1,135
0,8,6,8,1,0
1,8,6,8,1,10
2,8,6,8,1,45
3,8,6,8,1,135
0,8,7,0,0,0
1,8,7,0,0,10
2,8,7,0,0,45
3,8,7,0,0,135
0,8,8,10,1,0
1,8,8,10,0,10
2,8,8,10,0,45
3,8,8,10,0,135
0,9,1,0,1,0
1,9,1,0,1,10
0,9,2,0,1,0
1,9,2,0,1,10
0,9,3,0,1,0
1,9,3,0,0,10
0,9,4,0,0,0
1,9,4,0,1,10
0,9,5,0,1,0
1,9,5,0,1,10
0,9,6,0,0,0
1,9,6,0,0,10
0,9,7,0,1,0
1,9,7,0,1,10
0,9,8,0,1,0
1,9,8,0,1,10
0,10,1,10,0,0
1,10,1,10,0,10
2,10,1,10,0,45
0,10,2,18,0,0
1,10,2,18,1,10
2,10,2,18,0,45
