,subject,trick,duration,memory,time
0,1,1,8,0,0
0,1,2,6,0,0
0,1,3,10,0,0
0,1,4,6,1,0
0,1,5,2,1,0
0,1,6,2,1,0
0,1,7,8,0,0
0,1,8,6,1,0
0,2,1,8,0,0
0,2,2,14,1,0
0,2,3,10,1,0
0,2,4,0,0,0
0,2,5,0,1,0
0,2,6,4,1,0
0,2,7,0,0,0
0,2,8,8,1,0
0,8,1,12,0,0
0,8,2,12,0,0
0,8,3,16,1,0
0,8,4,10,0,0
0,8,5,2,1,0
0,8,6,8,1,0
0,8,7,0,0,0
0,8,8,10,1,0
0,12,1,16,0,0
0,12,2,2,0,0
0,12,3,12,1,0
0,12,4,10,1,0
0,12,5,0,1,0
0,12,6,4,0,0
0,12,7,8,0,0
0,12,8,8,1,0
0,15,1,4,0,0
0,15,2,6,0,0
0,15,3,2,1,0
0,15,4,2,1,0
0,15,5,0,1,0
0,15,6,0,1,0
0,15,7,0,0,0
0,15,8,12,1,0
0,16,1,4,0,0
0,16,2,10,1,0
0,16,3,8,1,0
0,16,4,6,1,0
0,16,5,2,1,0
0,16,6,0,1,0
0,16,7,0,0,0
0,16,8,10,1,0
0,17,1,0,0,0
0,17,2,8,1,0
0,17,3,2,1,0
0,17,4,0,1,0
0,17,5,0,1,0
0,17,6,0,1,0
0,17,7,0,1,0
0,17,8,0,1,0
0,18,1,24,0,0
0,18,2,12,0,0
0,18,3,14,0,0
0,18,4,6,1,0
0,18,5,8,1,0
0,18,6,2,1,0
0,18,7,12,1,0
0,18,8,0,1,0
0,19,1,10,0,0
0,19,2,10,1,0
0,19,3,8,1,0
0,19,4,0,0,0
0,19,5,0,1,0
0,19,6,0,1,0
0,19,7,16,0,0
0,19,8,0,1,0
0,21,1,16,0,0
0,21,2,12,1,0
0,21,3,8,0,0
0,21,4,0,1,0
0,21,5,4,1,0
0,21,6,0,0,0
0,21,7,6,1,0
0,21,8,4,1,0
0,26,1,0,1,0
0,26,2,12,0,0
0,26,3,6,1,0
0,26,4,0,1,0
0,26,5,0,1,0
0,26,6,0,1,0
0,26,7,0,1,0
0,26,8,0,1,0
0,30,1,0,0,0
0,30,2,8,1,0
0,30,3,0,0,0
0,30,4,6,1,0
0,30,5,0,1,0
0,30,6,2,1,0
0,30,7,0,1,0
0,30,8,0,1,0
0,31,1,18,0,0
0,31,2,14,0,0
0,31,3,10,0,0
0,31,4,24,0,0
0,31,5,8,1,0
0,31,6,0,0,0
0,31,7,12,1,0
0,31,8,6,1,0
0,32,1,14,0,0
0,32,2,12,0,0
0,32,3,0,1,0
0,32,4,6,1,0
0,32,5,8,1,0
0,32,6,0,1,0
0,32,7,0,1,0
0,32,8,18,0,0
0,33,1,46,1,0
0,33,2,0,0,0
0,33,3,26,0,0
0,33,4,0,1,0
0,33,5,10,1,0
0,33,6,0,1,0
0,33,7,0,1,0
0,33,8,28,1,0
0,34,1,14,0,0
0,34,2,20,1,0
0,34,3,18,0,0
0,34,4,10,0,0
0,34,5,4,1,0
0,34,6,0,1,0
0,34,7,12,1,0
0,34,8,16,0,0
0,37,1,0,1,0
0,37,2,2,1,0
0,37,3,0,1,0
0,37,4,0,0,0
0,37,5,0,1,0
0,37,6,4,1,0
0,37,7,0,1,0
0,37,8,22,1,0
